Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
74 Galatea (A862 QA),74 గాలాటి,A862 QA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.781,0.2361,4.07,197.13,174.61,83.79,118.71,8.76,0.0431,C,C,1690,4.63,17.9,3.44,2.12,17.27,"water, iron, nickel, cobalt, nitrogen, and ammonia."
134 Sophrosyne (A873 SA),134 సోఫ్రోసైన్,A873 SA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.564,0.1147,11.61,345.86,85.21,300.64,108,8.83,0.0364,C,Ch,1500,4.11,18.6,2.86,2.27,17.2,"water, iron, nickel, cobalt, nitrogen, and ammonia."
45 Eugenia (A857 MA),45 యూజీనియా,A857 MA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Maryland ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.72,0.0838,6.61,147.6,87.76,213.72,202.327,7.63,0.045,FC,C,1640,4.49,18.04,2.95,2.49,5.7,"water, iron, nickel, cobalt, nitrogen, and ammonia."
140 Siwa (A874 TB),140 శివ,A874 TB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.735,0.2141,3.19,107.18,196.89,231.94,109.79,8.45,0.0676,P,Xc,1650,4.52,18.03,3.32,2.15,34.45,"iron, nickel, cobalt, and platinum."
13 Egeria (A850 VA),13 ఏజీరియా,A850 VA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Maryland ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.577,0.0854,16.53,43.21,80.23,17.55,202.636,6.84,0.049,G,Ch,1510,4.14,18.57,2.8,2.36,7.05,"water, iron, nickel, cobalt, nitrogen, and ammonia."
83 Beatrix (A865 HA),83 బెయాట్రిక్,A865 HA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.432,0.0812,4.96,27.72,168.81,76.3,110.503,8.77,0.05,X,X,1390,3.81,19.03,2.63,2.23,10.11,"iron, nickel, and cobalt."
511 Davida (A903 KB),511 దావిడ,A903 KB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of West Virgini,తెలంగాణ రాష్టం లో మూడో వంతు,0,0,2459396.5,3.163,0.1882,15.94,107.59,337.22,113.57,270.327,6.43,0.076,C,C,2050,5.62,16.79,3.76,2.57,5.13,"water, iron, nickel, cobalt, nitrogen, and ammonia."
37 Fides (A855 TB),37 ఫైడ్స్,A855 TB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.641,0.1758,3.07,7.26,62.66,164.43,108.35,7.39,0.1826,S,S,1570,4.3,18.3,3.11,2.18,7.33,
59 Elpis (A860 RA),59 ఎల్పీస్,A860 RA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Massachusetts ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.714,0.1177,8.65,169.93,210.63,335.16,165.119,8.02,0.044,CP,B,1630,4.47,18.11,3.03,2.39,13.67,"hydrogen, nitrogen, ammonia, and iron."
132 Aethra (A873 LA),132 ఎత్ర,A873 LA,Mars-crossing Asteroid,Mars-crossing Asteroid,ఒక మార్స్ క్రాసింగ్ గ్రహశకలం. ఈ వర్గానికి చెందిన గ్రహశకలాలు కక్ష్యలు అంగారక గ్రహ కక్ష్య కి ఆనుకుని ముందుకి వెళ్లడం వల్ల వాటిని ఆ పేరు తో పిలుస్తారు. ,US state of Rhode Island ,ఢిల్లీ నగరం అంత ,0,0,2459396.5,2.609,0.3893,24.98,258.38,255.25,98.63,42.87,9.01,0.199,M,Xe,1540,4.22,18.43,3.62,1.59,5.17,"iron, nickel, and cobalt."
1374 Isora (1935 UA),1374 ఇసోరా,1935 UA,Mars-crossing Asteroid,Mars-crossing Asteroid,ఒక మార్స్ క్రాసింగ్ గ్రహశకలం. ఈ వర్గానికి చెందిన గ్రహశకలాలు కక్ష్యలు అంగారక గ్రహ కక్ష్య కి ఆనుకుని ముందుకి వెళ్లడం వల్ల వాటిని ఆ పేరు తో పిలుస్తారు. ,San Francisco Bay,హైదరాబాద్ నగరానికి రెండు రెట్లు,0,0,2459396.5,2.251,0.2777,5.3,302.48,61.07,150.8,7.507,13.3,,,Sq,1230,3.37,19.91,2.88,1.63,36.7,
1134 Kepler (1929 SA),1134 కెప్లర్,1929 SA,Mars-crossing Asteroid,Mars-crossing Asteroid,ఒక మార్స్ క్రాసింగ్ గ్రహశకలం. ఈ వర్గానికి చెందిన గ్రహశకలాలు కక్ష్యలు అంగారక గ్రహ కక్ష్య కి ఆనుకుని ముందుకి వెళ్లడం వల్ల వాటిని ఆ పేరు తో పిలుస్తారు. ,San Francisco Bay,హైదరాబాద్ నగరానికి రెండు రెట్లు,0,0,2459396.5,2.676,0.47,15.32,5.77,332.91,319.37,4.847,14.25,,,S,1600,4.38,18.2,3.93,1.42,2.75,
1131 Porzia (1929 RO),1131 పొజియా,1929 RO,Mars-crossing Asteroid,Mars-crossing Asteroid,ఒక మార్స్ క్రాసింగ్ గ్రహశకలం. ఈ వర్గానికి చెందిన గ్రహశకలాలు కక్ష్యలు అంగారక గ్రహ కక్ష్య కి ఆనుకుని ముందుకి వెళ్లడం వల్ల వాటిని ఆ పేరు తో పిలుస్తారు. ,San Francisco Bay,హైదరాబాద్ నగరానికి రెండు రెట్లు,0,0,2459396.5,2.229,0.286,3.23,100.67,248.09,218.63,8.58,13.01,,,S,1220,3.34,19.88,2.87,1.59,4.66,
